name,roaster,roast,loc_country,origin,100g_USD,rating,review_date,review
Banco Gotete Ethiopia,JBC Coffee Roasters,Medium-Light,United States,Ethiopia,4.82,93,201907,"Sweetly floral and richly resinous. Cedar, lemon zest, dried jasmine, cacao nib, loquat in aroma and cup. Delicate, sweetly brisk in structure; silky and lively in mouthfeel. Flavor consolidates around cedar and cocoa in a crisp, drying finish."
Ethiopia Sidamo G4 Natural Espresso,Small Eyes Cafe,Medium-Light,Taiwan,Ethiopia,2.56,93,201908,"Deeply rich, sweet, complex. Cocoa nib, ripe persimmon, tangerine zest, gardenia and myrrh in aroma and small cup. Rich, lightly velvety mouthfeel; crisp, cocoa-toned finish. In three parts milk, aromatics carry through distinctly with balanced pungency and sweetness."
Ethiopia Washed Guji Dimtu Espresso,Kakalove Cafe,Medium-Dark,Taiwan,Ethiopia,3.19,93,201907,"Evaluated as espresso. Richly roast-toned; floral and chocolaty. Gently scorched cedar, baker’s chocolate, narcissus-like flowers, mango, spearmint in aroma and small cup. Satiny mouthfeel; chocolate and spicy roast notes carry in a dry but lasting finish. The crisp chocolate dominates in three parts milk, with continuing hints of flowers and mango-like fruit."
Kebele Village Ethiopia,JBC Coffee Roasters,Medium-Light,United States,Ethiopia,5.03,93,201909,"Richly sweet-tart, high-toned. Cacao nib, pie cherry, lilac, cedar, nougat in aroma and cup. Sweet-tart structure with juicy, vibrant acidity; crisp, velvety mouthfeel. The resonant finish centers around notes of tart stonefruit and cacao nib."
Idido,Counter Culture Coffee,Medium-Light,United States,Ethiopia,4.41,93,202002," High-toned, crisply sweet-tart. Lemon zest, cocoa nib, freesia-like flowers, apricot, fresh-cut oak in aroma and cup. Tart-leaning structure with juicy, vibrant acidity; crisp, satiny mouthfeel. A resonant finish centers around lemon zest and cocoa nib."
La Esperanza Villa Sarchi,El Gran Café,Medium,Guatemala,Guatemala,4.85,92,202010,"Crisply sweet, high-toned, straightforward. Cocoa powder, lime zest, fresh-cut fir, freesia-like flowers, walnut in aroma and cup. Quietly tart structure with round, gently brisk acidity; lightly satiny mouthfeel. The rich-toned finish consolidates to notes of cocoa powder and walnut with hints of flowers."
Ethiopia Yirgacheffe Aricha G1,Chez Cafe,Medium-Light,Taiwan,Ethiopia,4.8,93,201912,"Crisply sweet, citrus- and cocoa-toned. Cocoo nib, pink grapefruit zest, cedar, narcissus, plum in aroma and cup. Sweet-tart structure with high-toned, lively acidity; full, satiny mouthfeel. The finish consolidates to notes of citrus-toned cocoa and narcissus."
Costa Rica Las Lajas Red Honey,Durango Coffee Company,Medium,United States,Costa Rica,4.69,93,201912,"Deeply sweet, subtly tart, nuanced. Ripe blueberry, freesia-like flowers, almond, fresh-cut cedar, nougat in aroma and cup. Sweetly fruit-toned structure with round acidity; full, syrupy mouthfeel. Finish consolidates to notes of blueberry and nougat with undertones of cedar. "
Costa Rica Perla Negra,Durango Coffee Company,Medium,United States,Costa Rica,4.98,92,202009,"Sweet, crisp, fruit-toned. Raspberry, cocoa nib, orange zest, magnolia, fir in aroma and cup. Sweet-toned structure with round acidity; velvety-smooth mouthfeel. The finish consolidates to cocoa-toned raspberry and fir."
Ethiopia Adame Garbota,Olympia Coffee Roasting,Medium-Light,United States,Ethiopia,5.0,93,202004,"Deep-toned, richly dry and pungent. Black tea, bergamot, baking chocolate, honeysuckle, oak in aroma and cup. Compelling bittersweet structure with crisp, citrusy acidity; tannic yet voluptuous mouthfeel. Baking chocolate and black tea carry the short finish, with bergamot and oak resurfacing in the long."
Ten Anniversary Blend,Indaba Coffee Roasters,Medium-Light,United States,Ethiopia,5.0,93,202004,"Richly sweet-tart, high-toned, perfumy. Watermelon candy, lilac, hop flowers, macadamia nut, sandalwood in aroma and cup. Sweet-tart-savory structure with fruit-toned acidity; plush, syrupy mouthfeel. The fruit-toned finish is anchored by deep sandalwood notes. "
Kakalove Ethiopia Natural Yirgacheffe Boyrfi,Kakalove Cafe,Medium-Light,Taiwan,Ethiopia,4.25,93,202004,"Fruit-forward, deep-toned. Blueberry jam, dark chocolate, lily, juniper, molasses in aroma and cup. Sweet structure with round, gentle acidity; full, syrupy mouthfeel. The berry-toned finish supported by dark chocolate and crisp juniper notes. "
Ethiopia Yetagesu Bulebula,Revel Coffee,Medium-Light,United States,Ethiopia,5.14,93,202002,"Bright, vibrant, sweetly tart. Apricot, pink grapefruit zest, jasmine, oak, cocoa nib in aroma and cup. High-toned, sweet-tart in structure with juicy acidity; satiny mouthfeel. The crisp, long finish leads with notes of apricot and grapefruit supported by cocoa nib."
Ethiopia Guji Darii Kojowa Grade 1,Cloud City Coffee,Medium-Light,United States,Ethiopia,5.29,92,202002,"Richly fruit-centered, deeply sweet. Dried blueberry, magnolia, cashew, cedar, baking chocolate in aroma and cup. Sweet in structure with gentle, round acidity; full, velvety mouthfeel. A fruit-toned finish that leads with blueberry and magnolia in the short, cedar in the long, and baking chocolate throughout."
Ethiopia FTO,Equator Coffees,Medium-Light,United States,Ethiopia,5.29,92,202002,"Crisp, delicately sweet-toned. Bergamot, Fig Newton, baking chocolate, magnolia, cedar in aroma and cup. Sweet structure with gentle, round acidity; velvety-smooth mouthfeel. A crisp finish consolidates to notes of baking chocolate, dried fig, and cedar."
Ethiopia Guji Uraga,Pedestrian Coffee,Medium-Light,United States,Ethiopia,5.29,93,201910,"Crisp, delicate, richly sweet. Red plum, cocoa nib, jasmine, sandalwood, brown sugar in aroma and cup. Sweet-toned structure with vivacious acidity; plush, syrupy mouthfeel. Cocoa-toned plum and a hint of jasmine animate the quiet finish."
Murang’a Kenya,JBC Coffee Roasters,Medium-Light,United States,Kenya,5.5,93,201908,"Richly and pungently zesty. Blackberry, baker’s chocolate, mixed peppercorn, violet, lemon zest in aroma and cup. Brisk and deeply rich-toned structure with a lemon and floral inflection; full, syrupy mouthfeel. Lemon and violet with a hint of cocoa in the long, dry finish. "
Murang’a Kenya Espresso,JBC Coffee Roasters,Medium-Light,United States,Kenya,5.5,93,201908,"Briskly and richly pungent. Dark chocolate, date, cherry tomato, violet, hints of herbs and spices (sage, cumin, cinnamon) in aroma and small cup. Light and silky, though gently drying mouthfeel. Crisp, quietly resonant finish. Distinctively tart, floral-toned and rich in three parts milk."
Nano Challa Ethiopia,Tandem Coffee,Medium-Light,United States,Ethiopia,5.29,93,201902,"High-toned, deeply sweet. Mango, gardenia, fresh-cut pine, molasses, hazelnut in aroma and cup. Sweet-tart structure with pert, lively acidity; viscous, lightly syrupy mouthfeel. The finish is redolent with mango and hazelnut."
Ethiopia Yirgacheffe Awassa,Paradise Roasters,Medium-Light,United States,Ethiopia,5.28,93,201901,"Bright, crisply sweet, chocolaty. Lemon blossom, nougat, roasted cacao nib, pomegranate, violet in aroma and cup. Balanced, sweetly tart structure with juicy, bright acidity; satiny-smooth mouthfeel. The resonant finish centers around cocoa and lightly-expressed citrus notes. "
Cordillera del Fuego Costa Rica Anaerobic,Collage Coffee,Medium-Light,United States,Costa Rica,5.29,93,201911,"Richly spicy, musky, chocolaty. Mexican chocolate (cocoa nib, vanilla, cinnamon, sugar), dried parsley, nutmeg, musk in aroma and cup. Crisp and piquant in structure; light, silky mouthfeel. The impressive finish is drying yet quite sweet, saturated with chocolate, cinnamon and musk suggestions."
Costa Rica Anaerobic,Manzanita Roasting Company,Light,United States,Costa Rica,5.29,93,201911,"Intense, spicy-sweet, chocolaty. Mexican chocolate (cocoa nib, vanilla, cinnamon, sugar), oak, orange zest, juniper berry or a light whiff of gin in aroma and cup. Sweet but crisp and balanced in structure, with a savory bottom. Light, though quite syrupy, mouthfeel. Cinnamon dominates in the short finish, but cocoa comes forward in a sweet and long-lasting finish."
Ethiopia Yirgacheffe GR1 Bedhatu Jibicho Washed,Klatch Coffee,Medium-Light,United States,Ethiopia,5.28,93,201911,"Deeply sweet, crisply herb-toned. Lemon verbena, plum, baking chocolate, hazelnut, honeysuckle in aroma and cup. Sweetly tart structure with brisk acidity; full, syrupy mouthfeel. Resonant finish with lemon verbena and baking chocolate front and center."
Ethiopia Shakiso,Battlecreek Coffee Roasters,Medium-Light,United States,Ethiopia,5.29,93,202001,"Rich-toned, fruit-forward, deeply sweet. Strawberry jam, cocoa nib, ginger flower, fresh-cut fir, maple syrup in aroma and cup. Sweet in structure with brisk acidity; plush, syrupy mouthfeel. The resonant finish centers on strawberry and cocoa notes supported by spice-toned florals."
Guatemala Bella Carmona,Highwire Coffee Roasters,Medium-Light,United States,Guatemala,5.36,92,202009,"Deep-toned, chocolaty. Dark chocolate, date, hazelnut, agave syrup, pink grapefruit zest in aroma and cup. Sweetly tart structure with pert acidity; delicately smooth mouthfeel. Chocolate- and hazelnut-toned finish."
Guatemala Guaya’B Coop,States Coffee & Mercantile,Medium-Light,United States,Guatemala,5.29,92,202006,"Delicate, sweet, citrus-toned. Cocoa nib, tangerine zest, almond, freesia-like flowers, apricot in aroma and cup. Sweet in structure with pert acidity; full, syrupy mouthfeel. Quiet, easygoing finish with notes of cocoa nib and tangerine zest."
Ethiopia Danse Mormora,Bluebeard Coffee Roasters,Medium-Light,United States,Ethiopia,5.29,92,202004,"Rich, deeply sweet-toned. Narcissus, black cherry, cedar, cashew butter, agave syrup in aroma and cup. Sweet-tart structure with gentle, citrusy acidity; smoothly viscous, satiny mouthfeel. The finish resonates with black cherry and narcissus in the short, consolidating to cashew and cedar in the long."
Wolde Hirbe Natural Espresso,JBC Coffee Roasters,Medium-Light,United States,Ethiopia,5.41,92,202002,"Evaluated as espresso. Crisply sweet, floral-toned. Molasses, plumeria, fir, date, orange zest in aroma and small cup. Full, creamy body; deeply sweet floral- and citrus-toned finish. In three parts milk, the molasses notes are amplified, as are plumeria and fir."
Ethiopia Konga,The WestBean Coffee Roasters,Medium,United States,Ethiopia,5.29,93,202005,"Crisply sweet, floral- and fruit-toned. Peach, narcissus, almond butter, nougat, cedar in aroma and cup. In structure sweetly and gently tart, with a balanced and roundly bright acidity. Satiny, lively mouthfeel. Peach and flowers linger in the finish."
Ethiopia Sidama Bombe Natural,Fire Ridge Coffee,Medium,United States,Ethiopia,5.29,93,202004,"Cleanly fruit-forward. Ripe strawberry, bay (wood and leaf), cocoa nib, freesia-like flowers, pink peppercorn in aroma and cup. Sweet-savory structure with fruity acidity; plush, satiny mouthfeel. The finish is all strawberry, supported by notes of fresh-picked bay leaf."
Colombia FUDAM Nariño,Lexington Coffee Roasters,Medium-Light,United States,Colombia,5.57,92,202011,"Sweetly fruit- and nut-toned. Plum, pistachio, magnolia, baking chocolate, oak in aroma and cup. Crisply sweet structure with brisk acidity; velvety-smooth mouthfeel. The finish consolidates to suggestions of plum, pistachio and oak."
Hawaiian Kona 100%,Cafe Virtuoso,Medium,United States,Hawai'I,17.64,93,201905,"Cleanly fruit-toned, richly sweet-tart. Raspberry, freesia, oak, pistachio, cacao nib in aroma and cup. Sweetly tart structure with gentle, rounded acidity; full, velvety mouthfeel. Raspberry and freesia notes animate the elegant, crisply sweet finish."
Kamwangi Kenya,Lexington Coffee Roasters,Medium-Light,United States,Kenya,5.86,93,201711,"Deeply and pungently sweet-tart. Lavender, grapefruit zest, sandalwood, blackberry, a hint of baker’s chocolate in aroma and cup. Simultaneously brightly tart and deeply savory in structure. Lightly syrupy, plush mouthfeel. Grapefruit zest and blackberry carry into a crisply resonant finish."
Ethiopia Yirgacheffe Natural G1,A.R.C.,Medium-Light,Hong Kong,Ethiopia,6.87,91,201711,"Rich, sweet-toned, balanced. Nougat, pink peppercorn, lemongrass, roasted cacao nib, tea rose in aroma and cup. Floral-toned, bittersweet structure; delicate, satiny mouthfeel. Notes of aromatic wood and spice-toned florals carry the gently drying finish."
Kenya,Evie's Cafe,Medium,Taiwan,Kenya,5.64,92,201808,"Sweetly savory, chocolate-toned. Baker’s chocolate, singed cedar, gardenia, plum, molasses in aroma and cup. Crisply sweet-savory structure; delicate, satiny mouthfeel. The richly drying finish centers around baker’s chocolate and pleasantly smoky aromatic wood notes."
Kenya Kirinyaga Mukangu AB,Coffee Please,Medium-Light,Taiwan,Kenya,5.66,92,201805,"Richly sweet-savory, spice-toned. Black currant, roasted cacao nib, freesia-like flowers, almond, molasses in aroma and cup. Sweet-savory in structure with crisply bright acidity; velvety mouthfeel. The quietly nuanced finish centers around black currant and freesia tones in the short, molasses and almond in the long."
Static Indonesia Toarco Sulawesi,Espresso Republic,Medium-Light,United States,Indonesia,5.88,91,201803,"Crisp, sweetly savory. Butterscotch, mesquite, cocoa powder, cooked acorn squash, fine musk in aroma and cup. Sweet-savory in structure with brisk acidity; lightly syrupy mouthfeel. The finish is carried, both short and long, by notes of cocoa and rich aromatic wood."
Brazil Pulped Natural,Nook Bakery & Coffee Bar,Medium-Light,United States,Brazil,5.64,91,201805,"Richly sweet, spice-toned. Ripe banana, roasted cacao nib, elm, freesia-like flowers, roasted cashew in aroma and cup. Roundly sweet-tart structure; lightly velvety mouthfeel. The crisp, richly drying finish consolidates around notes of cashew, cacao nib and a hint of spicy florals."
Decaf Ethiopia Sidamo,Old Soul Co.,Medium,United States,Ethiopia,5.73,90,201711,"Surprising and melodic, delicate yet vivid. Lilac and lemon blossom, fresh sweet grass, honey, moist pipe tobacco, fresh-cut elm in aroma and cup. In structure subtly and sweetly tart. Very light, silky mouthfeel. Unexpectedly rich and flavor-saturated in the finish: pipe tobacco, honey, lemon blossom."
Brasil Ipanema Premier Cru Gold B69 Natural,Back Home Coffee,Medium-Light,Taiwan,Brazil,5.92,90,201805,"Delicate, sweet-toned, softly bright and balanced. Caramel, vanilla bean, cedar, almond, candied lemon zest in aroma and cup. Gently brisk in structure, light in mouthfeel. Sweet citrus framed by aromatic cedar carry into a short but pleasing finish."
Brazil Chapada Diamantina Fazenda Floresta,Soul Work Coffee,Medium-Light,United States,Brazil,6.61,92,201805,"Crisp, delicately sweet. Baker’s chocolate, violet-like flowers, papaya, macadamia nut, molasses in aroma and cup. Balanced, bittersweet structure; impressively buoyant, velvety mouthfeel. The resonant, flavor-saturated finish consolidates around notes of violet and papaya with a throughline of molasses-like sweetness."
Guatemala El Retiro del Quisaya,Chocolate Fish Coffee Roasters,Light,United States,Guatemala,5.58,93,201711,"Delicately sweet and balanced with a subtle hint of fermented fruit. Peach, sweet chocolate, sandalwood, honeysuckle, almond in aroma and cup. Gently and sweetly bright in structure; light yet satiny in mouthfeel. Quiet but resonantly long finish: peach, chocolate, almond."
Ethiopia Bishan Fugu,Noble Coffee Roasting,Light,United States,Ethiopia,5.58,93,201711,"Delicate, sweetly tart. Strawberry, caramel, musk, cocoa butter, magnolia in aroma and cup. Quietly tart-leaning structure with sweet undertones; plush, syrupy body. The perfumy, almost musk-like finish is characterized by tart fruit notes in the short and cocoa butter in the long."
Kenya Nyeri Rumukia Peaberry,Green Stone Coffee,Medium,Taiwan,Kenya,6.83,92,201805,"Sweetly roast-rounded, cocoa-toned. Baker's chocolate, black currant, rose hip, singed cedar, almond brittle in aroma and cup. Crisply sweet-tart structure; delicate, syrupy mouthfeel. The richly drying finish centers around tart floral notes and baker's chocolate."
Guji Oraga Tabe,Steadfast Coffee,Medium-Light,United States,Ethiopia,6.76,92,201812,"Rich-toned, crisply sweet. Narcissus, plum, cedar, cashew butter, honey in aroma and cup. Sweet-tart structure with soft acidity; satiny-smooth mouthfeel. The finish resonates with plum and narcissus notes in the short, consolidating to cashew and cedar in the long."
Costa Rica Esteban Zamora,Temple Coffee and Tea,Medium-Light,United States,Costa Rica,6.03,91,201808,"Balanced, richly sweet-savory. Lemon verbena, roasted cacao nib, date, honeysuckle, cinnamon in aroma and cup. Crisply sweet in structure, with brisk acidity; velvety mouthfeel. The sweetly herbaceous finish consolidates to notes of lemon verbena and cocoa-toned cinnamon. "
Guatemala Finca El Limonar Hugo Chavez Mendez,Soul Work Coffee,Medium-Light,United States,Guatemala,5.88,92,201808,"Crisp, delicate, sweetly herbaceous. Roasted cacao nib, lemon verbena, almond brittle, date, freesia-like flowers in aroma and cup. Sweetly tart structure with bright, citrusy acidity; delicate, silky mouthfeel. The resonant finish is crisply sweet and richly drying, with notes of lemon verbena and cocoa nib."
Colombia Finca La Loma Antonio Gualguan,Soul Work Coffee,Medium-Light,United States,Colombia,5.88,91,201808,"Balanced, richly sweet. Black cherry, molasses, cedar, baker's chocolate, lily-like flowers in aroma and cup. Sweetly tart structure with brisk acidity; crisp, velvety mouthfeel. Notes of baker's chocolate and molasses frame the short finish, while cedar and lily re-emerge in the gently drying long."
Kenya Kariru PB,Corvus Coffee Roasters,Light,United States,Kenya,6.17,92,201810,"Crisply sweet-tart, engagingly bright. Tangerine zest, baker’s chocolate, tamarind, orange blossom, molasses in aroma and cup. Sweet-tart structure with brisk acidity; velvety-smooth mouthfeel. Floral in the short finish, followed by notes of baker’s chocolate and citrus zest in the long."
Ethiopia Yirgacheffe Botabaa G1,De Clieu Coffee,Medium-Light,Taiwan,Ethiopia,5.66,92,201902,"Citrusy and spice-toned. Lemon verbena, gardenia-like flowers, sandalwood, caramel, pink peppercorn in aroma and cup. Richly sweet-tart in structure with vibrant acidity; full, satiny mouthfeel. The finish consolidates to lemon verbena and sandalwood in the short, with caramel resurfacing in the long."
Suyusama Colombia,Bird Rock Coffee Roasters,Medium-Light,United States,Colombia,5.58,92,201905,"Richly bittersweet with pleasing savory undertones. Milk chocolate, hop flowers, apricot, narcissus, sandalwood in aroma and cup. Savory-sweet structure with brisk acidity; plush, satiny mouthfeel. Crisp, resonant finish with notes of milk chocolate and hop flowers. "
Colombia La Guamera Honey,Origin Coffee Roasters,Medium-Light,Hawai'i,Colombia,5.58,92,201902,"Crisp, high-toned, richly sweet. Strawberry, cocoa powder, honeysuckle, cedar, cashew butter in aroma and cup. Sweet-tart structure with bright acidity; crisp, satiny mouthfeel. The finish consolidates to cocoa and honeysuckle with a throughline of rich, cedar-like aromatic wood."
Bombe Natural Sidama,Broadsheet Coffee,Medium-Light,United States,Ethiopia,6.17,92,201902,"Fruit-forward, sweetly herbaceous. Raspberry coulis, lemon verbena, cacao nib, sandalwood, freesia-like flowers in aroma and cup. Crisply sweet-tart structure with brisk acidity; satiny-smooth mouthfeel. The finish consolidates to raspberry and cocoa with a sandalwood throughline underneath."
Kenya Nyeri Karuthi AA,Direct Coffee,Medium-Light,Taiwan,Kenya,8.88,92,201805,"Delicate, quietly sweet-toned. Roasted cacao nib, red grape, fresh-cut fir, lemon zest, gardenia-like flowers in aroma and cup. Gentle, rounded structure; crisp, satiny mouthfeel. The finish consolidates to notes of lemon zest and gardenia with a hint of fresh-cut fir."
Ethiopia Yirgacheffe Washed G1,A.R.C.,Medium-Light,Hong Kong,Ethiopia,6.87,92,201711,"Delicate, gently tart, spice-toned. Pomegranate, cocoa powder, lemon blossom, white peppercorn, hazelnut in aroma and cup. Lively, quietly complex structure; crisp, buoyant mouthfeel. The finish leads with gently drying notes of hazelnut and white peppercorn in the short and segues to cocoa-toned citrus blossoms in the long. "
Lekali (Nepal),Barrington Coffee Roasting,Medium,United States,Nepal,8.77,90,201803,"Delicate, crisply sweet-savory, roast-rounded. Dark chocolate, orange blossom, almond, sandalwood, tamari in aroma and cup. Savory sweet in structure  with gentle acidity; crisp, satiny mouthfeel. The finish is rich with notes of dark chocolate and almond in the short, with savory-sweet hints of tamari and sandalwood incense in the long."
Costa Rica Tarrazu,Caffe Luxxe,Medium-Light,United States,Costa Rica,7.35,91,201803,"Deeply sweet, richly wood-framed. Watermelon candy, sandalwood, narcissus-like flowers, toasted pecan, maple syrup in aroma and cup. Bittersweet structure; crisp, satiny mouthfeel. Aromatic wood leads in the short finish, while notes of watermelon candy (think Jolly Rancher) and sweet florals resurface in the long."
Kenya Gicherori,The WestBean Coffee Roasters,Medium-Light,United States,Kenya,7.05,91,201712,"Sweetly savory, layered. Rhododendron-like flowers, cinnamon, baker’s chocolate, cedar, red currant in aroma and cup. Round, savory-leaning structure; crisp, velvety mouthfeel. The quiet finish centers on notes of vanilla-like florals and baker’s chocolate, with a hint of cinnamon. "
Estate Carbonic Maceration,Ka'u Specialty Coffee,Medium-Light,Hawai'i,Hawai'I,13.0,90,201801,"Gently bittersweet, deeply floral-toned. Baker’s chocolate, aromatic orchid, hazelnut, oak in aroma and cup. Low-toned, crisply bittersweet in structure. Mouthfeel is light though silky. The finish consolidates to a rich, oaky chocolate.   "
Indonesia Emerald Mandheling,A.R.C.,Medium-Light,Hong Kong,Indonesia,8.02,92,201801,"Deeply rich, spicy sweet. Pear, cedar, vanilla, grapefruit zest, cumin in aroma and cup. Tartly bittersweet in structure; full, syrupy though drying mouthfeel. Resonant finish consolidates around pear and a floral-toned vanilla. "
Ethiopia Dumerso Light Roast,The WestBean Coffee Roasters,Medium,United States,Ethiopia,7.05,92,201802,"Fruit-forward, delicate yet intense. Complex flowers (lily to lavendar), sandalwood, dark chocolate, plum, a hint of brandy in aroma and cup. Roundly and deeply crisp in structure; lightly satiny in mouthfeel. The finish is resonant and sweet with chocolate and a continuing hint of brandy."
Static Kenya Kavutiri,Espresso Republic,Medium-Light,United States,Kenya,7.35,92,201712,"Delicate, sweetly spice-toned. Red currant, lemon verbena, baker’s chocolate, rose hips, a hint of cannabis in aroma and cup. Crisply sweet-savory structure; crisp, velvety mouthfeel. The finish is sweetly herb-toned, leading with notes of lemon verbena and red currant in the short and a sweet muskiness akin to cannabis in the long, with a throughline of baker’s chocolate."
“Naturals”,Hala Tree Kona Coffee,Medium-Light,Hawai'i,Hawai'I,13.23,92,201712,"Sweet-toned, fruit-forward. Raspberry, cedar, baker’s chocolate, gardenia, molasses in aroma and cup. Bittersweet structure; velvety mouthfeel. The crisp, gently drying finish leads with notes of chocolate-toned berries in the short, and spicy-sweet florals and aromatic wood notes in the long."
El Salvador Pacamara,Speckled Ax,Medium-Light,United States,El Salvador,7.35,92,201812,"Fruit-forward, crisply sweet. Peach, grapefruit zest, hazelnut, molasses, oak in aroma and cup. Savory-sweet structure with round, gentle acidity; full, satiny mouthfeel. The resonant finish centers around notes of peach, grapefruit zest and oak."
KonAroma Direct Trade Kona,Jampot Poorock Abbey,Medium,United States,Hawai'I,10.58,90,201903,"Deep, sweet, gently roasty. Orange zest, scorched cedar, cocoa, roasted cashew, a hint of lily in aroma and cup. Roasty pungent but sweet in structure; plush and lightly syrupy in mouthfeel. Chocolaty, richly drying in the finish.  "
Burundi Long Miles Coffee Project Natural,Green Stone Coffee,Medium-Light,Taiwan,Burundi,9.24,92,201806,"Richly sweet, spice-toned. Baker’s chocolate, cinnamon, banana, cashew, citrusy lantana flowers in aroma and cup. Bittersweet in structure, with juicy acidity; velvety-smooth mouthfeel. Notes of baker’s chocolate and banana are sweetly resonant in the short finish, spice-toned florals resurface in the long."
Burundi Gaharo Hill Long Miles Coffee Project Natural,Mustard Seed Cafe,Medium-Light,Taiwan,Burundi,9.16,92,201806,"Deeply rich, sweet-savory. Rhododendron, mango, almond brittle, thyme, oak in aroma and cup. Sweet-toned, savory structure; full, satiny mouthfeel. The gently drying finish consolidates to notes of oak and almond, with a hint of sweet herb suggesting thyme."
Sulawesi Toarco,Barrington Coffee Roasting,Medium-Light,United States,Indonesia,11.76,92,201809,"Sweet-toned, richly savory. Baker’s chocolate, hazelnut butter, narcissus, date, fresh-cut fir in aroma and cup. Sweet-savory structure with rounded, gentle acidity; satiny-smooth mouthfeel. The finish consolidates to baker’s chocolate and aromatic wood notes, with a hint of narcissus-like flowers. "
Kona Naturals,Hala Tree Kona Coffee,Medium-Light,Hawai'i,Hawai'I,13.23,92,201903,"Fruit-toned, richly sweet. Dried mango, coconut, freesia, honey, fir, a hint of aged grappa in aroma and cup. Sweet-toned structure with winy acidity; creamy mouthfeel. The fruit-forward character carries into the finish, where aromatic wood notes are also amplified. "
Honey Typica,Rusty's Hawaiian,Medium-Light,Hawai'i,Hawai'I,10.58,92,201905,"Crisply sweet, fruit- and spice-toned. Apricot, oak, baker’s chocolate, freesia, sandalwood in aroma and cup. Deeply sweet structure with a tart lift and lively acidity; satiny-smooth mouthfeel. The finish centers around crisp stone fruit and aromatic wood notes, with a hint of spicy flowers underneath."
Ka’u Typica Natural,Three Chairs Specialty Turkish Coffee,Medium-Light,United States,Hawai'I,14.11,92,201905,"Crisply sweet-tart, balanced. Rose hips, almond nougat, orange zest, apricot, cedar in aroma and cup. Sweet-toned structure with gentle, round acidity; velvety-smooth mouthfeel. The finish consolidates to pretty notes of nougat and apricot, with a hint of cedar. "
Ethiopia Yirgacheffe G1 Chachale Natural,GK Coffee,Medium-Light,Taiwan,Ethiopia,8.0,93,201811,"Richly fruit-toned. Ripe blueberry, dark chocolate, oak, agave syrup, rhododendron-like flowers in aroma and cup. Sweet-toned in structure with rounded acidity; full, syrupy mouthfeel. The resonant finish centers around deep blueberry and chocolate notes with a hint of oak."
Nicaragua Mierisch Finca La Huella Yellow Pacamara Honey,Kakalove Cafe,Light,Taiwan,Guatemala,7.08,93,201811,"Crisp, richly sweet-toned. Tamarind, hazelnut, maple syrup, pink peppercorn, narcissus-like flowers in aroma and cup. Sweetly tart structure with gentle acidity; plush, syrupy mouthfeel. The finish consolidates to notes of tamarind, hazelnut and pink peppercorn."
Ethiopia Guji Natural Dasaya G1,Small Eyes Cafe,Light,Taiwan,Ethiopia,5.66,93,201807,"Fruit-toned, engagingly complex. Mulberry, musk, cocoa, freesia-like flowers, elderflower liqueur in aroma and cup. Balanced in structure (sweet, tart, savory); plush, lively mouthfeel. The resonant finish leads with fruit (think berry medley) in the short, while the long is characterized by spice-toned florals and a hint of sweet ferment."
Ecuador Pichincha Typica,Paradise Roasters,Medium-Light,United States,Ecuador,6.15,93,201804,"Delicate, intricately sweet. Dried mango, roasted cacao nib, honeysuckle, freesia-like flowers, a hint of cumin in aroma and cup. Deeply rich, balanced  structure; crisp, satiny mouthfeel. The finish is animated by lively mango and freesia notes in the short, quieting to cocoa-toned honeysuckle in the long."
Ethiopia Gedeb Gotiti,Tico Coffee Roasters,Light,United States,Ethiopia,5.88,93,201804,"High-toned, richly sweet-savory. Mango, honey, lemongrass, oak, narcissus in aroma and cup. Balanced, sweetly savory structure with lively acidity; crisp though velvety mouthfeel. The sweetly herb-toned finish is redolent of lemongrass, supported by mango, honey and a hint of oak."
Guji Allona Ethiopia Natural,Peri Coffee,Medium-Light,United States,Ethiopia,5.73,93,201804,"Crisply sweet, fruit-toned. Blackberry, baker’s chocolate, freesia, hazelnut, cedar in aroma and cup. Sweet-tart structure with bright acidity; velvety-textured, crisp mouthfeel. The cocoa-toned finish has a berry throughline, enveloped by spicy floral notes."
Diima #9 Ethiopia Natural,Roast House,Medium-Light,United States,Ethiopia,7.35,93,201712,"Richly sweet, fruit-toned. Dried strawberry, dark chocolate, freesia-like flowers, tangerine zest, a hint of aged rum in aroma and cup. Sweetly round in structure; syrupy mouthfeel. The finish is crisply and richly drying with lingering hints of aged rum enveloped by dark chocolate. "
Nano Challa,Bird Rock Coffee Roasters,Medium-Light,United States,Ethiopia,6.76,93,201811,"Delicate, sweetly tart. Lemon drop, roasted cacao nib, pink peppercorn, almond, orange zest in aroma and cup. Sweet-tart structure with bright, juicy acidity; satiny-smooth mouthfeel. The resonant finish consolidates to notes of lemon drop and cocoa, with a hint of pink peppercorn."
Kenya Kainamui,Sweet Bloom Coffee Roasters,Medium-Light,United States,Kenya,5.88,93,201810,"Vibrant, high-toned, deeply sweet. Candied violet, pomegranate, sandalwood, honey, almond in aroma and cup. Richly sweet structure with bright, citrusy acidity; satiny mouthfeel. Sweetly tart in the short finish and redolent of honey and pomegranate in the long."
